lat,lon,name,admin1,admin2,cc
13.751,100.492,พระบรมมหาราชวัง,กรุงเทพมหานคร,พระนคร,TH
13.744,100.499,วังบูรพาภิรมย์,กรุงเทพมหานคร,พระนคร,TH
13.75,100.499,วัดราชบพิธ,กรุงเทพมหานคร,พระนคร,TH
13.751,100.503,สำราญราษฎร์,กรุงเทพมหานคร,พระนคร,TH
13.754,100.497,ศาลเจ้าพ่อเสือ,กรุงเทพมหานคร,พระนคร,TH
13.753,100.5,เสาชิงช้า,กรุงเทพมหานคร,พระนคร,TH
13.757,100.501,บวรนิเวศ,กรุงเทพมหานคร,พระนคร,TH
13.76,100.498,ตลาดยอด,กรุงเทพมหานคร,พระนคร,TH
13.762,100.495,ชนะสงคราม,กรุงเทพมหานคร,พระนคร,TH
13.762,100.503,บ้านพานถม,กรุงเทพมหานคร,พระนคร,TH
13.765,100.505,บางขุนพรหม,กรุงเทพมหานคร,พระนคร,TH
13.768,100.499,วัดสามพระยา,กรุงเทพมหานคร,พระนคร,TH
13.772,100.513,ดุสิต,กรุงเทพมหานคร,ดุสิต,TH
13.778,100.505,วชิรพยาบาล,กรุงเทพมหานคร,ดุสิต,TH
13.767,100.52,สวนจิตรลดา,กรุงเทพมหานคร,ดุสิต,TH
13.758,100.517,สี่แยกมหานาค,กรุงเทพมหานคร,ดุสิต,TH
13.789,100.522,ถนนนครไชยศรี,กรุงเทพมหานคร,ดุสิต,TH
13.823,100.897,กระทุ่มราย,กรุงเทพมหานคร,หนองจอก,TH
13.869,100.885,หนองจอก,กรุงเทพมหานคร,หนองจอก,TH
13.914,100.82,คลองสิบ,กรุงเทพมหานคร,หนองจอก,TH
13.914,100.88,คลองสิบสอง,กรุงเทพมหานคร,หนองจอก,TH
13.84,100.836,โคกแฝด,กรุงเทพมหานคร,หนองจอก,TH
13.872,100.81,คู้ฝั่งเหนือ,กรุงเทพมหานคร,หนองจอก,TH
13.797,100.844,ลำผักชี,กรุงเทพมหานคร,หนองจอก,TH
13.781,100.877,ลำต้อยติ่ง,กรุงเทพมหานคร,หนองจอก,TH
13.734,100.52,มหาพฤฒาราม,กรุงเทพมหานคร,บางรัก,TH
13.73,100.525,สีลม,กรุงเทพมหานคร,บางรัก,TH
13.724,100.53,สุริยวงศ์,กรุงเทพมหานคร,บางรัก,TH
13.727,100.527,บางรัก,กรุงเทพมหานคร,บางรัก,TH
13.725,100.514,สี่พระยา,กรุงเทพมหานคร,บางรัก,TH
13.868,100.606,อนุสาวรีย์,กรุงเทพมหานคร,บางเขน,TH
13.866,100.65,ท่าแร้ง,กรุงเทพมหานคร,บางเขน,TH
13.786,100.635,คลองจั่น,กรุงเทพมหานคร,บางกะปิ,TH
13.756,100.66,หัวหมาก,กรุงเทพมหานคร,บางกะปิ,TH
13.744,100.52,รองเมือง,กรุงเทพมหานคร,ปทุมวัน,TH
13.742,100.526,วังใหม่,กรุงเทพมหานคร,ปทุมวัน,TH
13.74,100.535,ปทุมวัน,กรุงเทพมหานคร,ปทุมวัน,TH
13.736,100.546,ลุมพินี,กรุงเทพมหานคร,ปทุมวัน,TH
13.743,100.514,ป้อมปราบ,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,TH
13.749,100.512,วัดเทพศิรินทร์,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,TH
13.753,100.513,คลองมหานาค,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,TH
13.752,100.507,บ้านบาตร,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,TH
13.759,100.511,วัดโสมนัส,กรุงเทพมหานคร,ป้อมปราบศัตรูพ่าย,TH
13.692,100.626,บางจาก,กรุงเทพมหานคร,พระโขนง,TH
13.804,100.723,มีนบุรี,กรุงเทพมหานคร,มีนบุรี,TH
13.812,100.774,แสนแสบ,กรุงเทพมหานคร,มีนบุรี,TH
13.723,100.771,ลาดกระบัง,กรุงเทพมหานคร,ลาดกระบัง,TH
13.753,100.723,คลองสองต้นนุ่น,กรุงเทพมหานคร,ลาดกระบัง,TH
13.753,100.754,คลองสามประเวศ,กรุงเทพมหานคร,ลาดกระบัง,TH
13.765,100.817,ลำปลาทิว,กรุงเทพมหานคร,ลาดกระบัง,TH
